Unit number,Catagory,Manufacturer,Address,ZIP Code,City,Phone,Customer,Customer ID,Contract number,Contract end,Last visit
19,Garagentor,Kone,Rückerstr. 002,10119,Berlin,283057224,Competence Call Center,21240,1000030,31/03/22,25/01/21
20,Fahrsteig,Thyssenkrupp,Schmidstr. 002,10179,Berlin,2794009,McDonald's,21241,1000031,30/04/22,25/01/21
21,Rolltor,Osma,Sebastianstr. 022,10179,Berlin,2792668,Sankt Gertrauden-Krankenhaus,21242,1000032,31/03/22,18/03/21
22,Autoparksystem,Vestner,Sebastianstr. 023,10179,Berlin,279 22 10,Zalando,21243,1000033,31/12/22,18/03/21
23,Treppenlift,Johnsen,Veteranenstr. 010,10119,Berlin,47378193,Berliner Stadtreinigungsbetriebe BSR,21244,1000034,31/03/22,10/01/21
24,Sonstige,Mitsubishi,Weydemeyerstr. 020/21,10178,Berlin,2419151,Volkssolidarität Berlin,21245,1000035,30/04/22,18/03/21
25,Sonstige,Orba,Kastanienallee 063A,10119,Berlin,449 72 89,"Edeka (inkl. Thürmann, Netto)",21246,1000036,30/04/22,27/02/21
26,Fahreppe,Lutz,Elisabethkirchstr. 021,10115,Berlin,449 65 27,Deutsche Bahn (inkl. S-Bahn Berlin),21247,1000037,28/02/22,10/01/21
27,Aufzug,Otis,Griebenowstr. 016,10435,Berlin,449 04 16,"Edeka (inkl. Thürmann, Netto)",21248,1000038,31/03/22,25/01/21
28,Fluggastbrücke,Otis,Große Hamburger Str. 028,10115,Berlin,24342439,Galeria Karstadt Kaufhof,21249,1000039,28/02/22,10/01/21
29,Garagentor,Orba,Mohrenstr. 007,10117,Berlin,030 51055655,Deutsche Telekom,21250,1000040,31/12/22,02/03/21
30,Sonstige,Vestner,Habersaathstr. 005,10115,Berlin,282 35 35,Biotronik,21251,1000041,30/04/22,25/01/21
31,Fahreppe,Orba,Eichendorffstr. 017,10115,Berlin,41716928,Berliner Glas,21252,1000042,30/04/22,25/01/21
32,Aufzug,Osma,Wolliner Str. 060,10435,Berlin,030 5471 3948,Messe Berlin,21253,1000043,31/12/22,25/01/21
33,Fahrsteig,Thyssenkrupp,Fürstenberger Str. 004,10435,Berlin,4496657,Deutsches Herzzentrum Berlin,21254,1000044,31/03/22,27/02/21
34,Fassadenbefahranlage,Johnsen,Strelitzer Str. 071,10115,Berlin,,Helios Kliniken,21255,1000045,28/02/22,25/01/21
35,Drehtür,Thyssenkrupp,Krausnickstr. 003A,10115,Berlin,247 92 52,Delivery Hero,21256,1000046,31/03/22,02/03/21
36,Drehtür,Mitsubishi,Anklamer Str. 046,10115,Berlin,4849 1840,Daimler,21257,1000047,31/03/22,25/01/21
37,Aufzug,Otis,Anklamer Str. 029(Seitenflügel/Quergebäude),10115,Berlin,4627116,Deutsche Post DHL,21258,1000048,31/12/22,25/01/21
38,Laderampe,Johnsen,Voßstr. 012,10117,Berlin,030 51055655,Berliner Wasserbetriebe,21259,1000049,31/03/22,25/01/21
39,Fassadenbefahranlage,Hyundai,Zionskirchstr. 049,10119,Berlin,40006900,Gegenbauer,21260,1000050,31/12/22,12/02/21
40,Rolltor,Orona,Krausnickstr. 011,10115,Berlin,27596089,IAV,21261,1000051,31/12/22,25/01/21
41,Fahreppe,Hitachi,Leipziger Str. 041,10117,Berlin,70084892,Daimler,21262,1000052,31/12/22,12/02/21
42,Aufzug,Mitsubishi,Anklamer Str. 029,10115,Berlin,41 71 40 50,Ernst & Young,21263,1000053,30/04/22,10/01/21
43,Rauchabzug,Orona,Linienstr. 122-124,10115,Berlin,887273918,Daimler,21264,1000054,30/04/22,10/01/21
44,Rauchabzug,Lutz,Brunnenstr. 033,10115,Berlin,405046925,Stephanus-Stiftung,21265,1000055,31/12/22,25/01/21
45,Rauchabzug,Johnsen,Reinhardtstr. 031,10117,Berlin,8520056,AWO,21266,1000056,28/02/22,25/01/21
46,Aufzug,Orba,Torstr. 134,10119,Berlin,24628214,H&M Hennes & Mauritz,21267,1000057,31/12/22,02/03/21
47,Fassadenbefahranlage,Brobeil,Glinkastr. 024,10117,Berlin,208 92 14,GRG. Die Gebäudereiniger,21268,1000058,28/02/22,10/01/21
48,Fluggastbrücke,Johnsen,Brunnenstr. 030,10119,Berlin,15775764079,Unfallkrankenhaus Berlin,21269,1000059,28/02/22,25/01/21
49,Sonstige,Hyundai,Anklamer Str. 022,10115,Berlin,0,Allianz,21270,1000060,28/02/22,10/01/21
50,Autoparksystem,Otis,Adalbertstr. 024,10179,Berlin,3040054204,HZB Helmholtz-Zentrum Berlin für Materialien und Energie,21271,1000061,31/03/22,12/02/21
51,Laderampe,Vestner,Borsigstr. 032/34,10115,Berlin,030 28500856,S-Bahn Berlin,21272,1000062,28/02/22,12/02/21
52,Rolltor,Schmitt,Garnisonkirchplatz 002,10178,Berlin,24723369,Ernst & Young,21273,1000063,31/03/22,27/02/21
53,Rauchabzug,Vestner,Wilhelmstr. 050,10117,Berlin,208 92 14,Wisag Facility Service Holding,21274,1000064,30/04/22,25/01/21
54,Fahrsteig,Otis,Köpenicker Str. 045,10179,Berlin,24088849,Volkswagen,21275,1000065,28/02/22,02/03/21
55,Aufzug,Brobeil,Invalidenstr. 130,10115,Berlin,688332340,Ernst & Young,21276,1000066,31/03/22,27/02/21
56,Fahreppe,Vestner,Wilhelmstr. 054,10117,Berlin,208 92 14,IAV,21277,1000067,31/03/22,18/03/21
57,Rolltor,Johnsen,Garnisonkirchplatz 002,10178,Berlin,24723369,Alexianer,21278,1000068,30/04/22,12/02/21
58,Automatiktür,Kone,Ziegelstr. 027,10117,Berlin,24723369,S-Bahn Berlin,21279,1000069,31/12/22,12/02/21
59,Fassadenbefahranlage,Vestner,Rheinsberger Str. 056,10115,Berlin,48496222,Berliner Sparkasse,21280,1000070,28/02/22,18/03/21
60,Drehtür,Lutz,Chausseestr. 050B,10115,Berlin,0179 5368246,August Storck,21281,1000071,28/02/22,12/02/21
61,Fluggastbrücke,Otis,Fehrbelliner Str. 051,10119,Berlin,3048492077,Randstad Deutschland,21282,1000072,31/12/22,25/01/21
62,Sonstige,Orona,Wilhelmine-Gemberg-Weg 010,10179,Berlin,030 92036752,Ikea Deutschland,21283,1000073,28/02/22,10/01/21
63,Sonstige,Hitachi,Ackerstr. 003,10115,Berlin,200 89 044,Berliner Werkstätten für Menschen mit Behinderung BWB,21284,1000074,31/12/22,18/03/21
64,Plattformlift,Thyssenkrupp,Steinstr. 027,10119,Berlin,40006900,Evangelisches Krankenhaus Königin Elisabeth Herzberge,21285,1000075,31/03/22,12/02/21
65,Plattformlift,Johnsen,Kapelle-Ufer 002,10117,Berlin,1603758951,Vitanas Gruppe,21286,1000076,31/12/22,25/01/21
66,Treppenlift,Osma,Ziegelstr. 005- 7,10117,Berlin,93939-8620,Delivery Hero,21287,1000077,30/04/22,27/02/21
67,Fluggastbrücke,Hitachi,Mohrenstr. 011,10117,Berlin,030 51055655,Piepenbrock Dienstleistungen,21288,1000078,31/12/22,02/03/21
68,Fahreppe,Schmitt,Wadzeckstr. 004,10178,Berlin,40042021,HZB Helmholtz-Zentrum Berlin für Materialien und Energie,21289,1000079,31/03/22,27/02/21
69,Drehtür,Otis,Jacobystr. 004,10179,Berlin,225027940,Lidl,21290,1000080,31/03/22,27/02/21
70,Aufzug,Lutz,Brunnenstr. 033,10115,Berlin,30405046918,Deutsches Rotes Kreuz,21291,1000081,30/04/22,27/02/21
71,Aufzug,Osma,Wilhelmstr. 088,10117,Berlin,47051700,Helios Kliniken,21292,1000082,31/12/22,25/01/21
72,Autoparksystem,Hyundai,An der Kolonnade 002,10117,Berlin,47051691,Helios Kliniken,21293,1000083,28/02/22,02/03/21
73,Rolltor,Johnsen,Invalidenstr. 103a,10115,Berlin,3505160,Deutsche Bank,21294,1000084,28/02/22,02/03/21
74,Rauchabzug,Hitachi,Chausseestr. 084,10115,Berlin,120 83 21 22 / -23,Postbank - eine Niederlassung der Deutsche Bank AG,21295,1000085,31/12/22,25/01/21
75,Fluggastbrücke,Orona,Alexandrinenstr. 056,10179,Berlin,28444482,Bio Company,21296,1000086,30/04/22,25/01/21
76,Laderampe,Schmitt,Hirtenstr. 012,10178,Berlin,21725432,Mosaik Unternehmensverbund,21297,1000087,28/02/22,25/01/21
77,Autoparksystem,Schmitt,Leipziger Str. 013,10117,Berlin,20075362,Deutsche Telekom,21298,1000088,31/12/22,27/02/21
78,Autoparksystem,Hyundai,Charitéplatz 001tatsächlich: Hufelandweg 12A,10117,Berlin,20095246,Dirk Rossmann,21299,1000089,28/02/22,02/03/21
79,Garagentor,Vestner,An der Kieler Brücke 031,10115,Berlin,1736195539,Kaufland,21300,1000090,28/02/22,27/02/21
80,Treppenlift,Osma,Bredowstr. 027A,10551,Berlin,3989 5301,Kaufland,21301,1000091,30/04/22,10/01/21
81,Plattformlift,Thyssenkrupp,Calvinstr. 016,10557,Berlin,3948 0196,Wisag Facility Service Holding,21302,1000092,31/03/22,02/03/21
82,Rolltor,Brobeil,Emdener Str. 011-13,10551,Berlin,39408573,Berliner Volksbank,21303,1000093,30/04/22,18/03/21
83,Fahreppe,Thyssenkrupp,Havelberger Str. 021,10559,Berlin,39494392,Vivantes-Netzwerk für Gesundheit,21304,1000094,30/04/22,02/03/21
84,Laderampe,Vestner,Klopstockstr. 029,10557,Berlin,3640 9507,Amazon,21305,1000095,30/04/22,25/01/21
85,Drehtür,Thyssenkrupp,Alt-Moabit 025,10559,Berlin,39889094,Volkswagen,21306,1000096,28/02/22,12/02/21
86,Plattformlift,Lutz,Birkenstr. 060,10559,Berlin,44724023,S-Bahn Berlin,21307,1000097,31/03/22,10/01/21
87,Rauchabzug,Kone,Pohlstr. 087,10785,Berlin,(030) 23005178,Berliner Sparkasse,21308,1000098,31/03/22,27/02/21
88,Treppenlift,Orba,Rathenower Str. 015,10559,Berlin,74780168,Vivantes-Netzwerk für Gesundheit,21309,1000099,31/12/22,02/03/21
89,Garagentor,Vestner,Ottostr. 016,10555,Berlin,3927979,Price Waterhouse Coopers,21310,1000100,28/02/22,27/02/21
90,Fahreppe,Johnsen,Rostocker Str. 032A,10553,Berlin,3948 0513,Wisag Facility Service Holding,21311,1000101,31/12/22,10/01/21
91,Drehtür,Orba,Wikingerufer 009,10555,Berlin,3912489,AOK,21312,1000102,28/02/22,12/02/21
92,Automatiktür,Orona,Holsteiner Ufer 012,10557,Berlin,36409506,Messe Berlin,21313,1000103,28/02/22,12/02/21
93,Fahrsteig,Orona,Paulstr. 020D,10557,Berlin,22635770,Renafan,21314,1000104,28/02/22,25/01/21
94,Fahrsteig,Orona,Bandelstr. 041,10559,Berlin,39783811,AOK,21315,1000105,28/02/22,02/03/21
95,Fahrsteig,Kone,Kluckstr. 029,10785,Berlin,25799626,Berlin-Chemie,21316,1000106,30/04/22,10/01/21
96,Garagentor,Orba,Alt-Moabit 117,10559,Berlin,39805060,Unionhilfswerk Unternehmensverbund,21317,1000107,30/04/22,10/01/21
97,Fahreppe,Orona,Lützowstr. 083- 85 (Zugang Pohlstraße 62),10785,Berlin,261 89 50,Berliner Glas,21318,1000108,31/12/22,25/01/21
98,Fahreppe,Lutz,Turmstr. 071,10551,Berlin,397 41 995,Vattenfall,21319,1000109,28/02/22,10/01/21
99,Automatiktür,Kone,Elberfelder Str. 018,10555,Berlin,391 45 40,Zalando,21320,1000110,30/04/22,27/02/21
100,Autoparksystem,Lutz,Otto-von-Bismarck-Allee 002,10557,Berlin,227-33395,MediamarktSaturn Deutschland,21321,1000111,30/04/22,12/02/21
101,Treppenlift,Otis,Kirchstr. 022,10557,Berlin,3919187,Knorr-Bremse,21322,1000112,31/12/22,25/01/21
102,Plattformlift,Hitachi,Quitzowstr. 136,10559,Berlin,395 75 78,KPMG,21323,1000113,28/02/22,25/01/21
103,Aufzug,Orba,Lehrter Str. 040,10557,Berlin,39703022,Bayer,21324,1000114,31/12/22,18/03/21
104,Fahreppe,Mitsubishi,Stephanstr. 017,10559,Berlin,396 78 15,Helios Kliniken,21325,1000115,28/02/22,12/02/21
105,Sonstige,Schmitt,Wilsnacker Str. 014,10559,Berlin,3945859,Ernst & Young,21326,1000116,30/04/22,18/03/21
106,Fahreppe,Mitsubishi,Rostocker Str. 026,10553,Berlin,39480386,Deutsche Kreditbank,21327,1000117,30/04/22,27/02/21
107,Garagentor,Orba,Bochumer Str. 011,10555,Berlin,3922126,Steinecke's Heidebrot Backstube,21328,1000118,28/02/22,12/02/21
108,Aufzug,Schindler,Stromstr. 058,10551,Berlin,3951860,Berliner Sparkasse,21329,1000119,30/04/22,02/03/21
109,Automatiktür,Lutz,Flemingstr. 011,10557,Berlin,3921261,Evangelisches Krankenhaus Königin Elisabeth Herzberge,21330,1000120,30/04/22,25/01/21
110,Aufzug,Vestner,Waldstr. 015,10551,Berlin,396 26 64,Bosch,21331,1000121,28/02/22,18/03/21
111,Aufzug,Orba,Calvinstr. 013,10557,Berlin,3935555,Alexianer,21332,1000122,28/02/22,02/03/21
112,Fassadenbefahranlage,Hitachi,Wilsnacker Str. 062,10559,Berlin,3946069,Randstad Deutschland,21333,1000123,30/04/22,27/02/21
113,Fassadenbefahranlage,Orona,Lübecker Str. 013,10559,Berlin,030/3948183,Knorr-Bremse,21334,1000124,31/03/22,25/01/21
114,Fahrsteig,Otis,Quitzowstr. 125,10559,Berlin,395 30 52,Degewo,21335,1000125,30/04/22,18/03/21
115,Rauchabzug,Johnsen,Emdener Str. 028,10551,Berlin,3951367,Ergo Group,21336,1000126,28/02/22,12/02/21
116,Treppenlift,Schindler,Huttenstr. 022A,10553,Berlin,3443521,Ernst & Young,21337,1000127,30/04/22,27/02/21
117,Rauchabzug,Hitachi,Lützowstr. 061,10785,Berlin,230 05 177,Vivantes-Netzwerk für Gesundheit,21338,1000128,31/12/22,02/03/21
118,Plattformlift,Brobeil,Lüneburger Str. 014,10557,Berlin,394 80 391,Ernst & Young,21339,1000129,30/04/22,10/01/21
119,Fassadenbefahranlage,Vestner,Huttenstr. 031,10553,Berlin,349 58 38,Volkssolidarität Berlin,21340,1000130,30/04/22,12/02/21
120,Plattformlift,Schmitt,Lübecker Str. 032,10559,Berlin,3965210,Paul Gerhardt Diakonie,21341,1000131,28/02/22,25/01/21
121,Rolltor,Thyssenkrupp,Katharina-Heinroth-Ufer 001,10787,Berlin,26931422,Netto Marken-Discount,21342,1000132,31/03/22,27/02/21
122,Fahreppe,Brobeil,Bissingzeile 01519,10785,Berlin,264 1248,"Edeka (inkl. Thürmann, Netto)",21343,1000133,28/02/22,25/01/21
123,Rolltor,Mitsubishi,Emdener Str. 047,10551,Berlin,396 20 71,Accor,21344,1000134,31/12/22,18/03/21
124,Autoparksystem,Orba,Alt-Moabit 133B,10557,Berlin,392 44 65,"Edeka (inkl. Thürmann, Netto)",21345,1000135,31/03/22,12/02/21
125,Autoparksystem,Schindler,Waldstr. 042,10551,Berlin,39877643,Berliner Glas,21346,1000136,30/04/22,12/02/21
126,Sonstige,Thyssenkrupp,Birkenstr. 033,10551,Berlin,3954982,Wisag Facility Service Holding,21347,1000137,30/04/22,10/01/21
127,Fahrsteig,Hitachi,Bochumer Str. 002,10555,Berlin,399 40 32,Axel Springer,21348,1000138,30/04/22,10/01/21
128,Fahreppe,Otis,Hansa-Ufer 003A,10555,Berlin,34620664,H&M Hennes & Mauritz,21349,1000139,31/12/22,10/01/21
129,Fluggastbrücke,Orba,Lützowplatz 001,10785,Berlin,2610 1890,Max-Delbrück-Centrum,21350,1000140,30/04/22,18/03/21
130,Drehtür,Otis,Siemensstr. 010,10551,Berlin,39880470,Deutsche Bahn (inkl. S-Bahn Berlin),21351,1000141,30/04/22,10/01/21
131,Plattformlift,Kone,Waldstr. 023,10551,Berlin,33099341,Deutsches Rotes Kreuz,21352,1000142,31/12/22,12/02/21
132,Fahrsteig,Vestner,Siegmunds Hof 017a,10555,Berlin,939398480,August Storck,21353,1000143,31/12/22,10/01/21
133,Treppenlift,Hyundai,Klopstockstr. 001,10557,Berlin,39746254,Deutsche Post DHL,21354,1000144,31/12/22,18/03/21
134,Treppenlift,Otis,Lützowstr. 106,10785,Berlin,46 99 77 70,Ikea Deutschland,21355,1000145,31/03/22,02/03/21
135,Automatiktür,Vestner,Wilsnacker Str. 040,10559,Berlin,39886617,Max-Delbrück-Centrum,21356,1000146,30/04/22,12/02/21
136,Laderampe,Thyssenkrupp,Elberfelder Str. 019,10555,Berlin,52102116,Unfallkrankenhaus Berlin,21357,1000147,31/12/22,25/01/21
137,Fluggastbrücke,Kone,Jagowstr. 028,10555,Berlin,3916129,Bauhaus,21358,1000148,30/04/22,27/02/21
138,Automatiktür,Osma,Emdener Str. 056,10551,Berlin,98435840,Berliner Verkehrsbetriebe (BVG),21359,1000149,28/02/22,18/03/21
139,Aufzug,Osma,Alt-Moabit 035,10555,Berlin,030 36726971,Deutsches Herzzentrum Berlin,21360,1000150,28/02/22,02/03/21
140,Garagentor,Hitachi,Perleberger Str. 047,10559,Berlin,39881662,AOK,21361,1000151,31/12/22,25/01/21
141,Laderampe,Schindler,Spenerstr. 037,10557,Berlin,63966448,Franz Cornelsen Bildungsgruppe,21362,1000152,30/04/22,02/03/21
142,Fahreppe,Otis,Huttenstr. 021,10553,Berlin,34507967,Stephanus-Stiftung,21363,1000153,31/12/22,12/02/21
143,Garagentor,Brobeil,Alt-Moabit 098,10559,Berlin,44724001,Securitas Sicherheitsdienste,21364,1000154,28/02/22,27/02/21
144,Fahrsteig,Orba,Alt-Moabit 037,10555,Berlin,39839557,Unionhilfswerk Unternehmensverbund,21365,1000155,31/12/22,12/02/21
145,Fassadenbefahranlage,Hyundai,Waldstr. 041,10551,Berlin,39877643,Ergo Group,21366,1000156,31/03/22,25/01/21
146,Fahrsteig,Hitachi,Jagowstr. 010- 11,10555,Berlin,32304860,Evangelisches Krankenhaus Königin Elisabeth Herzberge,21367,1000157,30/04/22,27/02/21
147,Garagentor,Vestner,Alt-Moabit 086,10555,Berlin,39840277,Accor,21368,1000158,31/03/22,12/02/21
148,Fahreppe,Vestner,Kaiserin-Augusta-Allee 101,10553,Berlin,3049085470,Competence Call Center,21369,1000159,30/04/22,25/01/21
149,Rolltor,Schindler,Elberfelder Str. 028,10555,Berlin,030/49089209,Messe Berlin,21370,1000160,31/12/22,25/01/21
150,Rolltor,Schmitt,Erasmusstr. 007A,10553,Berlin,3957629,Price Waterhouse Coopers,21371,1000161,31/03/22,25/01/21
151,Fluggastbrücke,Johnsen,Havelberger Str. 012,10559,Berlin,39405500,Berlin-Chemie,21372,1000162,30/04/22,27/02/21
152,Autoparksystem,Kone,Heidestr. 003,10557,Berlin,3087 3740,PIN Mail,21373,1000163,31/03/22,02/03/21
153,Garagentor,Mitsubishi,Lützowstr. 068,10785,Berlin,35050922,KPMG,21374,1000164,31/03/22,18/03/21
154,Automatiktür,Lutz,Jagowstr. 018,10555,Berlin,39877643,IAV,21375,1000165,28/02/22,25/01/21
155,Sonstige,Mitsubishi,Stephanstr. 053,10559,Berlin,26598704,Deutsche Lufthansa,21376,1000166,30/04/22,12/02/21
156,Fahrsteig,Orona,Paulstr. 018,10557,Berlin,40748134,Volkswagen,21377,1000167,30/04/22,25/01/21
157,Fahreppe,Schindler,Rostocker Str. 028,10553,Berlin,?030 40756202?,Gasag-Gruppe,21378,1000168,31/03/22,18/03/21
158,Rolltor,Orba,Wiclefstr. 032,10551,Berlin,36460372,Price Waterhouse Coopers,21379,1000169,28/02/22,27/02/21
159,Garagentor,Orona,Perleberger Str. 039,10559,Berlin,3965210,Ergo Group,21380,1000170,31/12/22,27/02/21
160,Treppenlift,Brobeil,Lydia-Rabinowitsch-Str. 005,10557,Berlin,39818162,Steinecke's Heidebrot Backstube,21381,1000171,31/12/22,18/03/21
161,Plattformlift,Otis,Klara-Franke-Str. 001,10557,Berlin,399 189 59,Unfallkrankenhaus Berlin,21382,1000172,31/03/22,10/01/21
162,Fahrsteig,Hyundai,Hedwig-Porschütz-Str. 006,10557,Berlin,55462241,Berliner Volksbank,21383,1000173,31/12/22,25/01/21
163,Garagentor,Orona,Wiclefstr. 006,10551,Berlin,,Max-Delbrück-Centrum,21384,1000174,30/04/22,10/01/21
164,Fassadenbefahranlage,Schindler,Ackerstr. 060,13355,Berlin,34620620,Bayer,21385,1000175,31/12/22,02/03/21
165,Rauchabzug,Mitsubishi,Brüsseler Str. 030,13353,Berlin,4541884,Deutsche Post DHL,21386,1000176,31/03/22,10/01/21
166,Fahrsteig,Thyssenkrupp,Ramlerstr. 009,13355,Berlin,43207225,Evangelisches Krankenhaus Königin Elisabeth Herzberge,21387,1000177,30/04/22,12/02/21
167,Garagentor,Hitachi,Edinburger Str. 038,13349,Berlin,4524291,Ikea Deutschland,21388,1000178,31/12/22,10/01/21
168,Fassadenbefahranlage,Otis,Ghanastr. 013,13351,Berlin,4518047,Competence Call Center,21389,1000179,31/12/22,02/03/21
169,Autoparksystem,Brobeil,Graunstr. 011A,13355,Berlin,443 83 451,MediamarktSaturn Deutschland,21390,1000180,31/12/22,18/03/21
170,Aufzug,Thyssenkrupp,Gottschedstr. 027,13357,Berlin,4606 0825,AOK,21391,1000181,31/03/22,25/01/21
171,Autoparksystem,Schindler,Reinickendorfer Str. 098,13347,Berlin,52134200,Biotronik,21392,1000182,30/04/22,12/02/21
172,Laderampe,Schmitt,Schönwalder Str. 019A,13347,Berlin,43207212,Parexel International,21393,1000183,30/04/22,27/02/21
173,Automatiktür,Mitsubishi,Schwedenstr. 009A,13359,Berlin,48478836,Lidl,21394,1000184,31/03/22,18/03/21
174,Automatiktür,Thyssenkrupp,Nordbahnstr. 015,13359,Berlin,4947236,Stephanus-Stiftung,21395,1000185,31/12/22,27/02/21
175,Fahrsteig,Hitachi,Wattstr. 016,13355,Berlin,443 83 341,Deutsche Bahn (inkl. S-Bahn Berlin),21396,1000186,30/04/22,27/02/21
176,Automatiktür,Vestner,Gottschedstr. 028,13357,Berlin,4606 0810,Volkswagen,21397,1000187,31/12/22,27/02/21
177,Rauchabzug,Brobeil,Lynarstr. 012,13353,Berlin,4541972,Securitas Sicherheitsdienste,21398,1000188,31/03/22,18/03/21
178,Rolltor,Vestner,Freienwalder Str. 019C,13359,Berlin,4946612,Vivantes-Netzwerk für Gesundheit,21399,1000189,30/04/22,12/02/21
179,Rauchabzug,Otis,Togostr. 067,13351,Berlin,451 90 76,GRG. Die Gebäudereiniger,21400,1000190,28/02/22,10/01/21
180,Autoparksystem,Orona,Wiesenstr. 049-50,13357,Berlin,4606 0490,PIN Mail,21401,1000191,28/02/22,25/01/21
181,Sonstige,Hitachi,Wolgaster Str. 004-2,13355,Berlin,467 76 4920,Studierendenwerk Berlin,21402,1000192,30/04/22,02/03/21
182,Automatiktür,Lutz,Koloniestr. 024A,13359,Berlin,493 50 18,3B Dienstleistung Deutschland,21403,1000193,31/12/22,18/03/21
183,Laderampe,Brobeil,Dubliner Str. 029,13349,Berlin,452 11 78,IAV,21404,1000194,31/03/22,02/03/21
184,Fahrsteig,Mitsubishi,Ruheplatzstr. 013,13347,Berlin,34620607,Bauhaus,21405,1000195,31/12/22,02/03/21
185,Automatiktür,Osma,Afrikanische Str. 028,13351,Berlin,4502 3277,Deutsche Telekom,21406,1000196,31/12/22,27/02/21
186,Sonstige,Brobeil,Bornholmer Str. 044,13359,Berlin,4998 8690,Siemens,21407,1000197,31/03/22,27/02/21
187,Laderampe,Osma,Stettiner Str. 021,13357,Berlin,34620606,Sankt Gertrauden-Krankenhaus,21408,1000198,30/04/22,25/01/21
188,Aufzug,Schmitt,Petersallee 029,13351,Berlin,35128686/85,Deutsche Telekom,21409,1000199,31/03/22,02/03/21
189,Garagentor,Lutz,Nazarethkirchstr. 050,13347,Berlin,456 62 91,Deutsche Post DHL,21410,1000200,31/03/22,12/02/21
190,Aufzug,Orona,Seestr. 035,13353,Berlin,453 63 07,Deutsche Bank,21411,1000201,30/04/22,10/01/21
191,Fassadenbefahranlage,Vestner,Soldiner Str. 021,13359,Berlin,493 62 62,H&M Hennes & Mauritz,21412,1000202,31/12/22,25/01/21
192,Sonstige,Orona,Sprengelstr. 035,13353,Berlin,454 35 59,Rewe Markt GmbH,21413,1000203,31/03/22,12/02/21
193,Rolltor,Lutz,Feldstr. 020,13355,Berlin,4635971,Degewo,21414,1000204,31/12/22,10/01/21
194,Autoparksystem,Johnsen,Hochstädter Str. 014,13347,Berlin,4551130,Deutsche Post DHL,21415,1000205,28/02/22,18/03/21
195,Fassadenbefahranlage,Hyundai,Reinickendorfer Str. 062,13347,Berlin,455 66 50,Berliner Werkstätten für Menschen mit Behinderung BWB,21416,1000206,31/12/22,27/02/21
196,Fahreppe,Schindler,Bastianstr. 018,13357,Berlin,4655897,Steinecke's Heidebrot Backstube,21417,1000207,31/03/22,12/02/21
197,Rolltor,Mitsubishi,Eulerstr. 010,13357,Berlin,4948076,H&M Hennes & Mauritz,21418,1000208,28/02/22,18/03/21
198,Plattformlift,Brobeil,Sprengelstr. 033,13353,Berlin,4536620,Berliner Stadtreinigungsbetriebe BSR,21419,1000209,31/12/22,25/01/21
199,Fluggastbrücke,Schmitt,Fehmarner Str. 014,13353,Berlin,-,"Edeka (inkl. Thürmann, Netto)",21420,1000210,31/12/22,10/01/21
